Date,High,Low,Open,Close,Volume,Adj Close
2021-02-10,47145.56640625,43881.15234375,46469.76171875,44918.18359375,87301089896,44918.18359375
2021-02-11,48463.46875,44187.76171875,44898.7109375,47909.33203125,81388911810,47909.33203125
2021-02-12,48745.734375,46424.9765625,47877.03515625,47504.8515625,76555041196,47504.8515625
2021-02-13,48047.74609375,46392.28125,47491.203125,47105.515625,70250456155,47105.515625
2021-02-14,49487.640625,47114.5078125,47114.5078125,48717.2890625,71248675228,48717.2890625
2021-02-15,48875.5703125,46347.4765625,48696.53515625,47945.05859375,77069903166,47945.05859375
2021-02-16,50341.1015625,47201.3046875,47944.45703125,49199.87109375,77049582886,49199.87109375
2021-02-17,52533.9140625,49072.37890625,49207.27734375,52149.0078125,80820545404,52149.0078125
2021-02-18,52474.10546875,51015.765625,52140.97265625,51679.796875,52054723579,51679.796875
2021-02-19,56113.65234375,50937.27734375,51675.98046875,55888.1328125,63495496918,55888.1328125
2021-02-20,57505.2265625,54626.55859375,55887.3359375,56099.51953125,68145460026,56099.51953125
2021-02-21,58330.5703125,55672.609375,56068.56640625,57539.9453125,51897585191,57539.9453125
2021-02-22,57533.390625,48967.56640625,57532.73828125,54207.3203125,92052420332,54207.3203125
2021-02-23,54204.9296875,45290.58984375,54204.9296875,48824.42578125,106102492824,48824.42578125
2021-02-24,51290.13671875,47213.5,48835.0859375,49705.33203125,63695521388,49705.33203125
2021-02-25,51948.96875,47093.8515625,49709.08203125,47093.8515625,54506565949,47093.8515625
2021-02-26,48370.78515625,44454.84375,47180.46484375,46339.76171875,350967941479,46339.76171875
2021-02-27,48253.26953125,45269.02734375,46344.7734375,46188.453125,45910946382,46188.453125
2021-02-28,46716.4296875,43241.6171875,46194.015625,45137.76953125,53443887451,45137.76953125
2021-03-01,49784.015625,45115.09375,45159.50390625,49631.2421875,53891300112,49631.2421875
2021-03-02,50127.51171875,47228.84375,49612.10546875,48378.98828125,47530897720,48378.98828125
2021-03-03,52535.13671875,48274.3203125,48415.81640625,50538.2421875,53220811975,50538.2421875
2021-03-04,51735.08984375,47656.9296875,50522.3046875,48561.16796875,52343816680,48561.16796875
2021-03-05,49396.4296875,46542.515625,48527.03125,48927.3046875,48625928883,48927.3046875
2021-03-06,49147.21875,47257.52734375,48899.23046875,48912.3828125,34363564661,48912.3828125
2021-03-07,51384.3671875,48918.6796875,48918.6796875,51206.69140625,43137459378,51206.69140625
2021-03-08,52314.0703125,49506.0546875,51174.1171875,52246.5234375,48597428048,52246.5234375
2021-03-09,54824.1171875,51981.83203125,52272.96875,54824.1171875,50912227385,54824.1171875
2021-03-10,57258.25390625,53290.890625,54824.01171875,56008.55078125,57295577614,56008.55078125
2021-03-11,58091.0625,54484.59375,55963.1796875,57805.12109375,56772343595,57805.12109375
2021-03-12,57996.62109375,55376.6484375,57821.21875,57332.08984375,55689944702,57332.08984375
2021-03-13,61683.86328125,56217.97265625,57343.37109375,61243.0859375,60669829814,61243.0859375
2021-03-14,61597.91796875,59302.31640625,61221.1328125,59302.31640625,43901225564,59302.31640625
2021-03-15,60540.9921875,55393.1640625,59267.4296875,55907.19921875,66419369890,55907.19921875
2021-03-16,56833.1796875,53555.02734375,55840.78515625,56804.90234375,59749798599,56804.90234375
2021-03-17,58969.81640625,54528.62890625,56825.828125,58870.89453125,60258313191,58870.89453125
2021-03-18,60116.25,54253.578125,58893.078125,57858.921875,55746041000,57858.921875
2021-03-19,59498.375,56643.703125,57850.44140625,58346.65234375,49063873786,58346.65234375
2021-03-20,60031.28515625,58213.296875,58332.26171875,58313.64453125,50361731222,58313.64453125
2021-03-21,58767.8984375,56005.6171875,58309.9140625,57523.421875,51943414539,57523.421875
2021-03-22,58471.48046875,54288.15625,57517.890625,54529.14453125,56521454974,54529.14453125
2021-03-23,55985.44140625,53470.6953125,54511.66015625,54738.9453125,56435023914,54738.9453125
2021-03-24,57262.3828125,52514.33203125,54710.48828125,52774.265625,70567223787,52774.265625
2021-03-25,53392.38671875,50856.5703125,52726.74609375,51704.16015625,67999812841,51704.16015625
2021-03-26,55137.3125,51579.85546875,51683.01171875,55137.3125,56652197978,55137.3125
2021-03-27,56568.21484375,54242.91015625,55137.56640625,55973.51171875,47266542233,55973.51171875
2021-03-28,56610.3125,55071.11328125,55974.94140625,55950.74609375,47686580918,55950.74609375
2021-03-28,58342.09765625,55139.33984375,55947.8984375,57750.19921875,57625587027,57750.19921875
2021-03-29,59447.22265625,57251.55078125,57750.1328125,58917.69140625,54414116432,58917.69140625
2021-03-30,59930.02734375,57726.41796875,58930.27734375,58918.83203125,65520826225,58918.83203125
2021-03-31,59586.0703125,58505.27734375,58926.5625,59095.80859375,61669163792,59095.80859375
2021-04-01,60267.1875,58869.28125,59098.87890625,59384.3125,58727860620,59384.3125
2021-04-02,60110.26953125,57603.890625,59397.41015625,57603.890625,59641344484,57603.890625
2021-04-03,58913.74609375,57168.67578125,57604.83984375,58758.5546875,50749662970,58758.5546875
2021-04-04,59891.296875,57694.82421875,58760.875,59057.87890625,60706272115,59057.87890625
2021-04-05,59479.578125,57646.80859375,59171.93359375,58192.359375,66058027988,58192.359375
2021-04-06,58731.14453125,55604.0234375,58186.5078125,56048.9375,75645303584,56048.9375
2021-04-07,58338.73828125,55879.0859375,56099.9140625,58323.953125,53053855641,58323.953125
2021-04-08,58937.046875,57807.86328125,58326.5625,58245.00390625,46655208546,58245.00390625
2021-04-09,61276.6640625,58038.70703125,58253.77734375,59793.234375,58238470525,59793.234375
2021-04-10,60790.5546875,59289.796875,59846.23046875,60204.96484375,46280252580,60204.96484375
2021-04-11,61253.03515625,59589.875,60175.9453125,59893.453125,51828688519,59893.453125
2021-04-12,63742.28515625,59869.95703125,59890.01953125,63503.45703125,69983454362,63503.45703125
2021-04-13,64863.09765625,61554.796875,63523.75390625,63109.6953125,77451779687,63109.6953125
2021-04-14,63821.671875,62208.96484375,63075.1953125,63314.01171875,60954381579,63314.01171875
2021-04-15,63594.72265625,60222.53125,63258.50390625,61572.7890625,84293007468,61572.7890625
2021-04-16,62572.17578125,60361.3515625,61529.921875,60683.8203125,66138759198,60683.8203125
2021-04-17,61057.45703125,52829.53515625,60701.88671875,56216.18359375,97468872758,56216.18359375
2021-04-18,57520.0546875,54368.59375,56191.5859375,55724.265625,65344865159,55724.265625
2021-04-19,57062.1484375,53448.046875,55681.79296875,56473.03125,67849323955,56473.03125
2021-04-20,56757.97265625,53695.46875,56471.12890625,53906.08984375,54926612466,53906.08984375
2021-04-21,55410.23046875,50583.8125,53857.10546875,51762.2734375,74798630778,51762.2734375
2021-04-22,52120.79296875,47714.6640625,51739.80859375,51093.65234375,86668667320,51093.65234375
2021-04-23,51167.5625,48805.28515625,51143.2265625,50050.8671875,49014494781,50050.8671875
2021-04-24,50506.01953125,47159.484375,50052.83203125,49004.25390625,46117114240,49004.25390625
2021-04-25,54288.00390625,48852.796875,49077.79296875,54021.75390625,58284039825,54021.75390625
2021-04-26,55416.96484375,53319.1875,54030.3046875,55033.1171875,49448222757,55033.1171875
2021-04-27,56227.20703125,53887.91796875,55036.63671875,54824.703125,48000572955,54824.703125
2021-04-28,55115.84375,52418.02734375,54858.08984375,53555.109375,46088929780,53555.109375
2021-04-29,57900.71875,53129.6015625,53568.6640625,57750.17578125,52395931985,57750.17578125
2021-04-30,58448.33984375,57052.2734375,57714.6640625,57828.05078125,42836427360,57828.05078125
2021-05-01,57902.59375,56141.90625,57825.86328125,56631.078125,38177405335,56631.078125
2021-05-02,58973.30859375,56590.87109375,56620.2734375,57200.29296875,51713139031,57200.29296875
2021-05-03,57214.1796875,53191.42578125,57214.1796875,53333.5390625,68564706967,53333.5390625
2021-05-04,57911.36328125,52969.0546875,53252.1640625,57424.0078125,69241316747,57424.0078125
2021-05-05,58363.31640625,55382.5078125,57441.30859375,56396.515625,69523285106,56396.515625
2021-05-06,58606.6328125,55321.84765625,56413.953125,57356.40234375,68434023376,57356.40234375
2021-05-07,59464.61328125,56975.2109375,57352.765625,58803.77734375,65382980634,58803.77734375
2021-05-08,59210.8828125,56482.00390625,58877.390625,58232.31640625,65906690347,58232.31640625
2021-05-09,59519.35546875,54071.45703125,58250.87109375,55859.796875,71776546298,55859.796875
2021-05-10,56872.54296875,54608.65234375,55847.2421875,56704.57421875,61308396325,56704.57421875
2021-05-11,57939.36328125,49150.53515625,56714.53125,49150.53515625,75215403907,49150.53515625
2021-05-12,51330.84375,46980.01953125,49735.43359375,49716.19140625,96721152926,49716.19140625
2021-05-13,51438.1171875,48868.578125,49682.98046875,49880.53515625,55737497453,49880.53515625
2021-05-14,50639.6640625,46664.140625,49855.49609375,46760.1875,59161047474,46760.1875
2021-05-15,49720.04296875,43963.3515625,46716.63671875,46456.05859375,64047871555,46456.05859375
2021-05-16,46623.55859375,42207.2890625,46415.8984375,43537.51171875,74903638450,43537.51171875
2021-05-17,45812.45703125,42367.83203125,43488.05859375,42909.40234375,56187365084,42909.40234375
2021-05-18,43546.1171875,30681.49609375,42944.9765625,37002.44140625,126358098747,37002.44140625
2021-05-19,42462.984375,35050.6171875,36753.66796875,40782.73828125,88281943359,40782.73828125
2021-05-20,42172.171875,33616.453125,40596.94921875,37304.69140625,82051616861,37304.69140625
2021-05-21,38831.0546875,35383.68359375,37371.03125,37536.6328125,57377273240,37536.6328125
2021-05-22,38289.21875,31227.33984375,37531.44921875,34770.58203125,78469274361,34770.58203125
2021-05-23,39835.140625,34551.08203125,34700.36328125,38705.98046875,67359584098,38705.98046875
2021-05-24,39776.3515625,36581.4296875,38795.78125,38402.22265625,56211915803,38402.22265625
2021-05-25,40782.078125,37905.8359375,38392.625,39294.19921875,51346735160,39294.19921875
2021-05-26,40379.6171875,37247.90234375,39316.890625,38436.96875,43210968721,38436.96875
2021-05-27,38856.96875,34779.0390625,38507.08203125,35697.60546875,55200191952,35697.60546875
2021-05-28,37234.5,33693.9296875,35684.15625,34616.06640625,45231013335,34616.06640625
2021-05-29,36400.66796875,33520.73828125,34607.40625,35678.12890625,31646080921,35678.12890625
2021-05-30,37468.25,34241.9453125,35658.59375,37332.85546875,39009847639,37332.85546875
2021-05-31,37896.734375,35787.0859375,37293.79296875,36684.92578125,34639423297,36684.92578125
2021-06-01,38231.33984375,35966.30859375,36699.921875,37575.1796875,33070867190,37575.1796875
2021-06-02,39478.953125,37243.97265625,37599.41015625,39208.765625,35460750427,39208.765625
2021-06-03,39242.484375,35717.72265625,39242.484375,36894.40625,41831090187,36894.40625
2021-06-04,37917.71484375,34900.4140625,36880.15625,35551.95703125,35959473399,35551.95703125
2021-06-05,36436.421875,35304.578125,35538.609375,35862.37890625,28913440585,35862.37890625
2021-06-06,36790.5703125,33480.640625,35835.265625,33560.70703125,33683936663,33560.70703125
2021-06-07,34017.38671875,31114.443359375,33589.51953125,33472.6328125,49902050442,33472.6328125
2021-06-08,37537.37109375,32475.865234375,33416.9765625,37345.12109375,53972919008,37345.12109375
2021-06-09,38334.32421875,35847.59375,37389.515625,36702.59765625,43576032854,36702.59765625
2021-06-10,37608.6953125,36044.44921875,36697.03125,37334.3984375,38699736985,37334.3984375
2021-06-11,37408.92578125,34728.19140625,37340.14453125,35552.515625,37924228550,35552.515625
2021-06-12,39322.78125,34864.109375,35555.7890625,39097.859375,40669112838,39097.859375
2021-06-13,40978.36328125,38757.28515625,39016.96875,40218.4765625,43148914673,40218.4765625
2021-06-14,41295.26953125,39609.46875,40427.16796875,40406.26953125,46420149185,40406.26953125
2021-06-15,40516.77734375,38176.03515625,40168.69140625,38347.0625,39211635100,38347.0625
2021-06-16,39513.671875,37439.67578125,38341.421875,38053.50390625,37096670047,38053.50390625
2021-06-17,38187.26171875,35255.85546875,38099.4765625,35787.24609375,36200887275,35787.24609375
2021-06-18,36457.796875,34933.0625,35854.52734375,35615.87109375,31207279719,35615.87109375
2021-06-19,36059.484375,33432.07421875,35563.140625,35698.296875,36664034054,35698.296875
2021-06-20,35721.640625,31295.935546875,35641.14453125,31676.693359375,52809038594,31676.693359375
2021-06-21,33292.453125,28893.62109375,31622.376953125,32505.66015625,58964353058,32505.66015625
2021-06-22,34753.41015625,31772.6328125,32515.71484375,33723.02734375,46317108925,33723.02734375
2021-06-23,35228.8515625,32385.21484375,33682.80078125,34662.4375,33123368116,34662.4375
2021-06-24,35487.24609375,31350.884765625,34659.10546875,31637.779296875,40230904226,31637.779296875
2021-06-25,32637.587890625,30184.501953125,31594.6640625,32186.27734375,38585385521,32186.27734375
2021-06-26,34656.12890625,32071.7578125,32287.5234375,34649.64453125,35511640894,34649.64453125
2021-06-27,35219.890625,33902.07421875,34679.12109375,34434.3359375,33892523752,34434.3359375
2021-06-28,36542.109375,34252.484375,34475.55859375,35867.77734375,37901460044,35867.77734375
2021-06-29,36074.7578125,34086.15234375,35908.38671875,35040.8359375,34059036099,35040.8359375
2021-06-30,35035.984375,32883.78125,35035.984375,33572.1171875,37838957079,33572.1171875
2021-07-01,33939.58984375,32770.6796875,33549.6015625,33897.046875,38728974942,33897.046875
2021-07-02,34909.26171875,33402.6953125,33854.421875,34668.546875,24383958643,34668.546875
2021-07-03,35937.56640625,34396.4765625,34665.56640625,35287.78125,24924307911,35287.78125
2021-07-04,35284.34375,33213.66015625,35284.34375,33746.00390625,26721554282,33746.00390625
2021-07-05,35038.53515625,33599.91796875,33723.5078125,34235.1953125,26501259870,34235.1953125
2021-07-06,34997.6640625,33839.2890625,34225.6796875,33855.328125,24796027477,33855.328125
2021-07-07,33907.90625,32133.18359375,33889.60546875,32877.37109375,29910396946,32877.37109375
2021-07-08,34042.29296875,32318.880859375,32861.671875,33798.01171875,27436021028,33798.01171875
2021-07-09,34209.0703125,33116.01171875,33811.2421875,33520.51953125,22971873468,33520.51953125
2021-07-10,34584.703125,33346.73828125,33509.078125,34240.1875,20108729370,34240.1875
2021-07-11,34592.15625,32697.30859375,34254.015625,33155.84765625,24321499537,33155.84765625
2021-07-12,33327.1015625,32261.419921875,33125.46875,32702.025390625,19120856669,32702.025390625
2021-07-13,33061.3984375,31639.125,32723.845703125,32822.34765625,21376531210,32822.34765625
2021-07-14,33159.640625,31175.708984375,32827.875,31780.73046875,21300524237,31780.73046875
2021-07-15,32218.40625,31100.673828125,31841.55078125,31421.5390625,23699476918,31421.5390625
2021-07-16,31935.9453125,31223.990234375,31397.30859375,31533.068359375,18895018942,31533.068359375
2021-07-17,32398.99609375,31215.4921875,31533.884765625,31796.810546875,18787986667,31796.810546875
2021-07-18,31885.859375,30563.734375,31800.01171875,30817.83203125,20434789545,30817.83203125
2021-07-19,31006.1875,29360.955078125,30838.28515625,29807.34765625,23148267245,29807.34765625
2021-07-20,32752.326171875,29526.18359375,29796.28515625,32110.693359375,28203024559,32110.693359375
2021-07-21,32576.400390625,31745.298828125,32138.873046875,32313.10546875,19555230518,32313.10546875
2021-07-22,33581.55078125,32057.892578125,32305.958984375,33581.55078125,22552046192,33581.55078125
2021-07-23,34490.390625,33424.859375,33593.73046875,34292.4453125,21664706865,34292.4453125
2021-07-24,35364.92578125,33881.8359375,34290.29296875,35350.1875,20856685287,35350.1875
2021-07-25,40499.67578125,35287.3125,35384.03125,37337.53515625,51022126212,37337.53515625
2021-07-26,39406.94140625,36441.7265625,37276.03515625,39406.94140625,35097370560,39406.94140625
2021-07-27,40816.0703125,38862.4375,39503.1875,39995.90625,38702404695,39995.90625
2021-07-28,40593.0703125,39352.05859375,39995.453125,40008.421875,27167146027,40008.421875
2021-07-29,42235.546875,38397.35546875,40027.484375,42235.546875,33072782960,42235.546875
2021-07-30,42231.44921875,41110.83203125,42196.3046875,41626.1953125,25802845343,41626.1953125
2021-07-31,42541.6796875,39540.94140625,41460.84375,39974.89453125,26688438115,39974.89453125
2021-08-01,40419.1796875,38746.34765625,39907.26171875,39201.9453125,25595265436,39201.9453125
2021-08-02,39750.03125,37782.05078125,39178.40234375,38152.98046875,26189830450,38152.98046875
2021-08-03,39952.296875,37589.1640625,38213.33203125,39747.50390625,25372562724,39747.50390625
2021-08-04,41341.93359375,37458.00390625,39744.515625,40869.5546875,35185031017,40869.5546875
2021-08-05,43271.66015625,39932.1796875,40865.8671875,42816.5,38226483046,42816.5
2021-08-06,44689.859375,42618.56640625,42832.796875,44555.80078125,40030862141,44555.80078125
2021-08-07,45282.3515625,43331.91015625,44574.4375,43798.1171875,36302664750,43798.1171875
2021-08-08,46456.83203125,42848.6875,43791.92578125,46365.40234375,38734079049,46365.40234375
2021-08-09,46637.98828125,44705.5546875,46280.84765625,45585.03125,33546019517,45585.03125
2021-08-10,46735.6328125,45351.7109375,45599.703125,45593.63671875,34319709073,45593.63671875
2021-08-11,46228.91015625,43861.4453125,45576.87890625,44428.2890625,33723620826,44428.2890625
2021-08-12,47831.9765625,44282.41796875,44439.69140625,47793.3203125,31744259539,47793.3203125
2021-08-13,48098.68359375,46177.6328125,47810.6875,47096.9453125,31211354442,47096.9453125
2021-08-14,47357.10546875,45579.58984375,47096.66796875,47047.00390625,30988958446,47047.00390625
2021-08-15,47998.09765625,45700.3203125,47019.9609375,46004.484375,32776876610,46004.484375
2021-08-16,47139.5703125,44512.41796875,45936.45703125,44695.359375,33451362600,44695.359375
2021-08-17,45952.0625,44364.02734375,44686.75,44801.1875,32194123075,44801.1875
2021-08-18,46970.76171875,43998.31640625,44741.8828125,46717.578125,37204312299,46717.578125
2021-08-19,49342.15234375,46650.70703125,46723.12109375,49339.17578125,34706867452,49339.17578125
2021-08-20,49717.01953125,48312.19921875,49327.07421875,48905.4921875,40585205312,48905.4921875
2021-08-21,49471.609375,48199.94140625,48869.10546875,49321.65234375,25370975378,49321.65234375
2021-08-22,50482.078125,49074.60546875,49291.67578125,49546.1484375,34305053719,49546.1484375
2021-08-23,49878.76953125,47687.1171875,49562.34765625,47706.1171875,35361168834,47706.1171875
2021-08-24,49202.87890625,47163.61328125,47727.2578125,48960.7890625,32646349931,48960.7890625
2021-08-25,49347.58203125,46405.78125,49002.640625,46942.21875,32666549568,46942.21875
2021-08-26,49112.78515625,46394.28125,46894.5546875,49058.66796875,34511076995,49058.66796875
2021-08-27,49283.50390625,48499.23828125,49072.5859375,48902.40234375,28568103401,48902.40234375
2021-08-28,49644.11328125,47925.85546875,48911.25,48829.83203125,25889650240,48829.83203125
2021-08-29,48925.60546875,46950.2734375,48834.8515625,47054.984375,31847007016,47054.984375
2021-08-30,48189.55078125,46750.09375,47024.33984375,47166.6875,34730363427,47166.6875
2021-08-31,49111.08984375,46562.4375,47099.7734375,48847.02734375,39139399125,48847.02734375
2021-09-01,50343.421875,48652.3203125,48807.84765625,49327.72265625,39508070319,49327.72265625
2021-09-02,50982.2734375,48386.0859375,49288.25,50025.375,43206179619,50025.375
2021-09-03,50545.58203125,49548.78125,50009.32421875,49944.625,37471327794,49944.625
2021-09-04,51868.6796875,49538.59765625,49937.859375,51753.41015625,30322676319,51753.41015625
2021-09-05,52700.94140625,51053.6796875,51769.00390625,52633.53515625,38884105426,52633.53515625
2021-09-06,52853.765625,43285.20703125,52660.48046875,46811.12890625,65210059683,46811.12890625
2021-09-07,47334.0546875,44561.39453125,46827.76171875,46091.390625,49007762488,46091.390625
2021-09-08,47261.94921875,45669.73828125,45774.7421875,46391.421875,38672657013,46391.421875
2021-09-09,47031.7421875,44344.484375,46396.6640625,44883.91015625,39154666597,44883.91015625
2021-09-10,45969.29296875,44818.265625,44869.83984375,45201.45703125,34499835245,45201.45703125
